text,intent
start playing music now,play_music
"hey, tell me the forecast now",weather
tell me something funny,joke
i need you to start quickly,open_app
would you mind if you tell me the time,time
please new alarm,set_alarm
please good morning,greeting
i need you to good morning quickly,greeting
hiya friend,greeting
hi there,greeting
what is the time,time
could you do i need an umbrella about space,weather
can you gotta go,farewell
would you mind if you make me laugh on youtube,joke
"hey assistant, what is the temperature quickly",weather
just start playing music on spotify,play_music
can you crack a joke,joke
"hey assistant, show me",open_app
"hey assistant, current time please buddy",time
could you i'm leaving,farewell
would you mind if you how is the weather about dogs,weather
would you mind if you bye in new york,farewell
"hey assistant, play some tunes today",play_music
"hey, good evening",greeting
i need you to top of the morning,greeting
please good morning,greeting
"hey assistant, open the app",open_app
"hey, set an alarm on spotify",set_alarm
start playing music,play_music
boot up quickly,open_app
just go to,open_app
could you do you know any jokes about dogs,joke
is it raining outside,weather
please play a song in london,play_music
add an alarm on youtube,set_alarm
"hey, put on a playlist",play_music
"hey assistant, shuffle my songs about dogs",play_music
would you mind if you search for,search_web
would you mind if you good afternoon quickly,greeting
what is the temperature today,weather
"ok, resume playback about dogs",play_music
"hey assistant, what is the time",time
please find information about for me,search_web
can you good morning assistant,greeting
would you mind if you say a joke please,joke
please i need a laugh,joke
put on a playlist on youtube,play_music
i need a laugh on youtube,joke
just goodbye,farewell
please tell me a joke,joke
can you add an alarm in london,set_alarm
"ok, what time is it on youtube",time
"ok, add an alarm",set_alarm
could you play some music,play_music
"hey, i want to listen to music",play_music
"ok, is it sunny right now",weather
i need you to set a timer please,set_alarm
can you what's the clock say friend,time
just crack a joke quickly,joke
see ya right now,farewell
"ok, tell me something funny",joke
"ok, start playing music",play_music
would you mind if you set a timer,set_alarm
please peace out,farewell
can you open up,open_app
"ok, tell me a joke friend",joke
please who is for me,search_web
i need you to make me laugh for me,joke
"ok, put on a playlist",play_music
i need you to farewell for me,farewell
could you google now,search_web
i need you to tell me the time,time
would you mind if you i need a laugh for me,joke
i need you to top of the morning,greeting
could you tell me the time right now,time
"ok, boot up",open_app
"hey assistant, make me laugh",joke
wake me up,set_alarm
i need you to timer for for 10 minutes,set_alarm
could you music please right now,play_music
see you later on youtube,farewell
"ok, who is",search_web
"hey, i need a laugh",joke
"hey assistant, catch you later",farewell
just greetings right now,greeting
"ok, go to",open_app
do you know the time buddy,time
"hey, go to on spotify",open_app
"hey assistant, i'm leaving",farewell
would you mind if you put on a playlist,play_music
"hey assistant, what is the time tomorrow",time
"hey assistant, how is the weather",weather
just tell me the forecast now,weather
just howdy now,greeting
"ok, search for",search_web
just show me,open_app
can you search the web for tomorrow,search_web
would you mind if you who is,search_web
can you what is the time today,time
can you how is the weather,weather
"hey assistant, do you know any jokes",joke
can you i need a laugh on spotify,joke
can you how are you right now,greeting
just set a timer please,set_alarm
could you good morning friend,greeting
would you mind if you do i need an umbrella,weather
"hey assistant, time check",time
please see ya,farewell
just have a good one assistant,farewell
"hey assistant, how are you friend",greeting
just timer for assistant,set_alarm
"hey assistant, start playing music about space",play_music
just open up,open_app
can you catch you later in london,farewell
"ok, show me",open_app
could you launch,open_app
"ok, wake me up for me",set_alarm
"hey, what is",search_web
"hey assistant, what's the weather like",weather
i need you to is it sunny,weather
"ok, remind me",set_alarm
i need you to who is,search_web
would you mind if you good evening on spotify,greeting
would you mind if you good evening,greeting
can you current time please on spotify,time
what time is it today,time
just new alarm,set_alarm
please howdy,greeting
just is it raining outside,weather
could you do i need an umbrella on spotify,weather
just can you open now,open_app
top of the morning right now,greeting
i need you to see ya please,farewell
"hey assistant, what is the time",time
"hey assistant, what's the weather like at 7 am",weather
"hey assistant, start today",open_app
i need you to see ya,farewell
could you crack a joke,joke
"hey, can you open on spotify",open_app
"hey assistant, open the app",open_app
"hey assistant, what's the weather like about space",weather
i need you to go to,open_app
would you mind if you go to,open_app
please crack a joke,joke
"ok, who is tomorrow",search_web
"hey, google at 7 am",search_web
"ok, what is the temperature",weather
"hey assistant, gotta go",farewell
just goodbye,farewell
can you google,search_web
"hey, can you google please",search_web
i need you to search the web for,search_web
create a timer,set_alarm
"hey assistant, open the app quickly",open_app
would you mind if you can you google,search_web
would you mind if you do i need an umbrella right now,weather
can you say a joke for 10 minutes,joke
could you farewell assistant,farewell
can you i need a laugh,joke
look up about space,search_web
could you time check quickly,time
boot up,open_app
"hey assistant, go to on youtube",open_app
"hey assistant, do you know the time buddy",time
would you mind if you remind me,set_alarm
could you create a timer about space,set_alarm
i need you to good afternoon,greeting
look up,search_web
can you is it raining outside on spotify,weather
"hey, bye",farewell
"ok, tell me the time friend",time
please set an alarm,set_alarm
"ok, go to at 7 am",open_app
just resume playback buddy,play_music
could you bye bye,farewell
could you do i need an umbrella,weather
just see you later at 7 am,farewell
"hey, remind me about space",set_alarm
is it raining outside buddy,weather
could you bye bye,farewell
"ok, search for",search_web
just hey for 10 minutes,greeting
"hey assistant, tell me about tomorrow",search_web
i need you to tell me the forecast,weather
"ok, show me",open_app
just do you know any jokes,joke
"hey assistant, is it raining outside for 10 minutes",weather
would you mind if you tell me something funny in new york,joke
i need you to see ya assistant,farewell
"ok, top of the morning on youtube",greeting
"hey, can you open buddy",open_app
could you open up now,open_app
"ok, what is the temperature now",weather
can you shuffle my songs in new york,play_music
"hey, tell me a joke",joke
i need you to music please,play_music
put on a playlist now,play_music
would you mind if you what is,search_web
can you say a joke,joke
could you greetings assistant,greeting
i need you to tell me the time tomorrow,time
what's up,greeting
please do you know any jokes now,joke
could you new alarm on youtube,set_alarm
i need you to tell me a joke,joke
please hi there right now,greeting
can you what is the time,time
"hey, good evening",greeting
could you tell me something funny now,joke
just put on a playlist,play_music
"hey, timer for today",set_alarm
can you look up assistant,search_web
"ok, see you later now",farewell
please what time is it about dogs,time
please peace out,farewell
could you how is the weather,weather
could you go to,open_app
please add an alarm in new york,set_alarm
"hey assistant, is it raining outside",weather
can you search the web for,search_web
just new alarm,set_alarm
"hey, what time is it",time
please crack a joke for 10 minutes,joke
please remind me,set_alarm
"hey assistant, crack a joke",joke
please do i need an umbrella,weather
just hi there assistant,greeting
would you mind if you find information about on youtube,search_web
"ok, open the app on youtube",open_app
i need you to hey,greeting
could you wake me up in london,set_alarm
just time check,time
"hey, what's up",greeting
would you mind if you boot up in new york,open_app
would you mind if you new alarm in london,set_alarm
just good morning,greeting
"hey, go to",open_app
just hey,greeting
please resume playback for me,play_music
could you tell me the time in london,time
would you mind if you could you tell me the time,time
could you search for,search_web
"hey assistant, what is the time",time
please is it sunny,weather
just is it raining outside on youtube,weather
could you what's up,greeting
i need you to can you google about space,search_web
please show me tomorrow,open_app
"ok, start for me",open_app
"hey assistant, open up for 10 minutes",open_app
"ok, launch",open_app
"hey, good morning",greeting
"ok, do i need an umbrella",weather
"hey, greetings today",greeting
would you mind if you is it raining outside,weather
i need you to do i need an umbrella,weather
i need you to start,open_app
would you mind if you play some tunes,play_music
could you start,open_app
can you say a joke,joke
can you i'm leaving at 7 am,farewell
"ok, hey",greeting
would you mind if you tell me something funny,joke
boot up,open_app
"hey, play a song about dogs",play_music
would you mind if you do you know any jokes quickly,joke
could you wake me up quickly,set_alarm
could you launch,open_app
just start playing music about dogs,play_music
would you mind if you open the app,open_app
would you mind if you have a good one,farewell
i need you to remind me,set_alarm
just play some music,play_music
i need you to shuffle my songs,play_music
remind me on youtube,set_alarm
i need you to howdy,greeting
can you see ya,farewell
i need you to time check on youtube,time
just google please,search_web
"ok, i'm leaving",farewell
just farewell today,farewell
i need you to remind me,set_alarm
can you what is the time for 10 minutes,time
"hey, catch you later",farewell
just resume playback friend,play_music
"hey, good afternoon",greeting
could you go to,open_app
i need you to greetings in london,greeting
i need you to play some music,play_music
"hey assistant, start",open_app
please wake me up,set_alarm
can you set a timer about dogs,set_alarm
just open up,open_app
"ok, tell me a joke",joke
could you timer for,set_alarm
just google at 7 am,search_web
play some tunes today,play_music
"ok, can you google",search_web
"hey assistant, do you know any jokes",joke
would you mind if you timer for,set_alarm
"hey, could you tell me the time",time
"hey assistant, hiya about space",greeting
just what is the temperature,weather
i need you to goodbye,farewell
"hey assistant, bye bye",farewell
just what's the clock say,time
"hey, what is the temperature",weather
"ok, wake me up quickly",set_alarm
i need you to can you open,open_app
would you mind if you search the web for,search_web
"hey assistant, what's the clock say",time
could you timer for tomorrow,set_alarm
i need you to boot up,open_app
please greetings,greeting
"hey, tell me a joke for 10 minutes",joke
"hey, good afternoon",greeting
"ok, look up",search_web
could you can you open,open_app
would you mind if you is it raining outside buddy,weather
"hey assistant, create a timer",set_alarm
"hey, good morning",greeting
"hey, how is the weather",weather
could you is it sunny right now,weather
"ok, bye bye assistant",farewell
can you what is the temperature,weather
i need you to hi about space,greeting
i need you to launch quickly,open_app
"hey, peace out quickly",farewell
would you mind if you what's up please,greeting
play some tunes,play_music
would you mind if you i need a laugh,joke
could you goodbye tomorrow,farewell
i need you to could you tell me the time for me,time
would you mind if you is it sunny,weather
can you i'm leaving,farewell
"hey assistant, google",search_web
would you mind if you tell me about in new york,search_web
could you hiya,greeting
please play some music on youtube,play_music
could you put on a playlist in london,play_music
"hey assistant, what is",search_web
"hey, do you know the time",time
please go to,open_app
"hey assistant, tell me the forecast",weather
"ok, good evening right now",greeting
"hey, show me on youtube",open_app
just could you tell me the time,time
just find information about,search_web
who is today,search_web
"hey assistant, set a timer",set_alarm
"hey, what is the time tomorrow",time
would you mind if you do i need an umbrella,weather
just top of the morning buddy,greeting
i need you to set an alarm on spotify,set_alarm
"hey assistant, tell me a joke quickly",joke
can you say a joke please,joke
please can you google,search_web
please current time please about dogs,time
"hey, what time is it",time
please play a song today,play_music
what is the time,time
"hey, tell me the forecast",weather
see ya,farewell
would you mind if you catch you later,farewell
please have a good one,farewell
would you mind if you tell me the forecast,weather
i need you to greetings tomorrow,greeting
"hey, google about dogs",search_web
i need you to good evening about space,greeting
just could you tell me the time,time
"hey assistant, put on a playlist friend",play_music
just remind me about dogs,set_alarm
would you mind if you see you later,farewell
would you mind if you tell me something funny,joke
"hey assistant, farewell",farewell
just tell me about buddy,search_web
please catch you later,farewell
just shuffle my songs,play_music
"hey, start playing music on spotify",play_music
i need you to current time please assistant,time
just could you tell me the time for 10 minutes,time
"hey assistant, start playing music",play_music
could you shuffle my songs,play_music
would you mind if you new alarm,set_alarm
boot up at 7 am,open_app
"ok, how are you for me",greeting
search the web for buddy,search_web
"hey assistant, how is the weather",weather
"ok, set an alarm",set_alarm
just open up buddy,open_app
just tell me the forecast,weather
can you play a song,play_music
"hey, timer for",set_alarm
i need you to hiya about space,greeting
"hey, do i need an umbrella please",weather
"ok, bye",farewell
"hey assistant, timer for",set_alarm
"ok, tell me the time for 10 minutes",time
"hey, do you know the time",time
can you tell me the forecast,weather
just remind me in london,set_alarm
can you hey on spotify,greeting
please timer for,set_alarm
would you mind if you google,search_web
"hey assistant, how is the weather",weather
can you hey for 10 minutes,greeting
show me please,open_app
do you know any jokes please,joke
"ok, say a joke about space",joke
can you shuffle my songs today,play_music
can you say a joke right now,joke
would you mind if you bye bye buddy,farewell
i need you to gotta go about dogs,farewell
"ok, find information about",search_web
just timer for for 10 minutes,set_alarm
"hey, how are you",greeting
open the app,open_app
"hey assistant, start on spotify",open_app
please tell me something funny on youtube,joke
could you current time please,time
tell me the time please,time
can you could you tell me the time,time
please set a timer,set_alarm
"hey assistant, what's the clock say",time
"ok, is it sunny",weather
i need you to look up,search_web
what is the temperature,weather
please can you open tomorrow,open_app
just see you later right now,farewell
please see you later,farewell
"ok, tell me about",search_web
just what's the weather like,weather
can you resume playback now,play_music
i need you to how are you,greeting
"ok, i'm leaving today",farewell
please go to today,open_app
show me in new york,open_app
could you set an alarm assistant,set_alarm
just hey,greeting
search for buddy,search_web
"hey, shuffle my songs",play_music
could you what's the clock say,time
could you make me laugh,joke
see you later,farewell
"ok, play some tunes in new york",play_music
set an alarm,set_alarm
could you search for please,search_web
"hey, tell me something funny assistant",joke
tell me the time,time
i need you to what's the weather like tomorrow,weather
i need you to what is quickly,search_web
"hey, find information about now",search_web
would you mind if you music please in new york,play_music
just could you tell me the time,time
would you mind if you have a good one buddy,farewell
just current time please,time
can you current time please at 7 am,time
please play a song,play_music
"ok, what is the time about dogs",time
"hey, crack a joke in new york",joke
i need you to could you tell me the time,time
i need you to what time is it buddy,time
could you what time is it friend,time
"ok, what's the clock say",time
"ok, what is",search_web
please show me,open_app
would you mind if you resume playback,play_music
"ok, resume playback",play_music
"ok, what is the time about space",time
can you tell me something funny on spotify,joke
can you do you know any jokes for 10 minutes,joke
could you howdy,greeting
can you look up in london,search_web
"hey assistant, could you tell me the time",time
just tell me a joke,joke
could you make me laugh friend,joke
"ok, good morning for me",greeting
crack a joke on youtube,joke
just make me laugh,joke
could you tell me the time friend,time
please what's the clock say,time
i need you to go to for 10 minutes,open_app
"ok, what is",search_web
can you play some music,play_music
"hey assistant, i need a laugh",joke
i need you to bye,farewell
please find information about,search_web
i need you to what's the clock say friend,time
please wake me up in new york,set_alarm
can you what's the clock say for me,time
could you what is the temperature on spotify,weather
can you hi right now,greeting
"hey, gotta go",farewell
can you search the web for about dogs,search_web
"ok, tell me the time please",time
can you go to for 10 minutes,open_app
"hey assistant, time check",time
"hey, goodbye on youtube",farewell
would you mind if you is it sunny for 10 minutes,weather
can you open the app in new york,open_app
just put on a playlist,play_music
can you shuffle my songs,play_music
"hey, google",search_web
can you go to about space,open_app
"hey, crack a joke",joke
i need you to say a joke,joke
can you bye bye tomorrow,farewell
"hey, do i need an umbrella for 10 minutes",weather
"ok, open the app about dogs",open_app
can you google for 10 minutes,search_web
"hey, good morning",greeting
"hey assistant, wake me up now",set_alarm
"ok, search the web for on youtube",search_web
"hey assistant, set a timer",set_alarm
would you mind if you good afternoon in new york,greeting
just current time please quickly,time
"ok, add an alarm assistant",set_alarm
"ok, look up",search_web
please i need a laugh,joke
can you play a song on spotify,play_music
i need you to find information about,search_web
"ok, tell me about on youtube",search_web
"ok, do you know the time",time
"hey assistant, tell me the forecast quickly",weather
just resume playback,play_music
can you catch you later,farewell
could you go to quickly,open_app
could you add an alarm tomorrow,set_alarm
"ok, play a song about dogs",play_music
just good morning,greeting
would you mind if you play some music,play_music
please is it raining outside,weather
is it raining outside,weather
"hey, top of the morning",greeting
just who is buddy,search_web
just start at 7 am,open_app
"hey assistant, shuffle my songs",play_music
"ok, set a timer today",set_alarm
please could you tell me the time for me,time
would you mind if you see ya tomorrow,farewell
"ok, how is the weather quickly",weather
"hey assistant, what is the temperature please",weather
would you mind if you what is today,search_web
just what time is it,time
would you mind if you good afternoon for me,greeting
"ok, gotta go",farewell
put on a playlist about space,play_music
i need you to start,open_app
just search the web for in london,search_web
"hey, set a timer right now",set_alarm
just start on spotify,open_app
greetings on youtube,greeting
"hey, goodbye",farewell
please start,open_app
do you know the time about space,time
can you i'm leaving,farewell
i need you to boot up,open_app
"ok, find information about",search_web
could you shuffle my songs in new york,play_music
could you look up,search_web
"ok, is it raining outside today",weather
can you timer for now,set_alarm
howdy tomorrow,greeting
just what time is it,time
"hey assistant, add an alarm",set_alarm
could you wake me up,set_alarm
just find information about,search_web
could you wake me up assistant,set_alarm
just find information about,search_web
"hey, search for",search_web
can you say a joke in london,joke
"ok, play a song right now",play_music
would you mind if you tell me the time,time
would you mind if you could you tell me the time quickly,time
can you show me today,open_app
"ok, set a timer",set_alarm
i need you to google,search_web
"hey, what's up",greeting
"ok, tell me a joke quickly",joke
just tell me something funny in london,joke
would you mind if you create a timer in london,set_alarm
i need you to boot up,open_app
would you mind if you search for,search_web
"hey, tell me something funny",joke
search the web for please,search_web
"hey assistant, what's the weather like quickly",weather
could you tell me the time please,time
please play some tunes,play_music
i need you to tell me a joke right now,joke
could you tell me the time tomorrow,time
please find information about today,search_web
please what is the temperature now,weather
please how are you tomorrow,greeting
please play some music on spotify,play_music
please what's the clock say,time
could you open the app,open_app
"hey assistant, tell me the forecast for 10 minutes",weather
"hey assistant, start playing music",play_music
i need you to how are you,greeting
would you mind if you is it sunny,weather
i need you to hi,greeting
please find information about,search_web
could you goodbye about space,farewell
just see you later,farewell
"hey assistant, play some tunes in london",play_music
can you play a song,play_music
just what's the weather like buddy,weather
would you mind if you what time is it,time
catch you later assistant,farewell
can you peace out,farewell
could you timer for,set_alarm
just hi buddy,greeting
"ok, how is the weather",weather
"ok, hey in new york",greeting
would you mind if you could you tell me the time,time
i need you to how are you,greeting
can you resume playback,play_music
would you mind if you do i need an umbrella,weather
please look up in london,search_web
could you make me laugh on spotify,joke
can you hi there,greeting
"hey, tell me a joke on spotify",joke
could you set an alarm friend,set_alarm
how are you at 7 am,greeting
catch you later today,farewell
would you mind if you hi at 7 am,greeting
would you mind if you play some tunes friend,play_music
"ok, search the web for about dogs",search_web
would you mind if you find information about on youtube,search_web
"hey assistant, is it raining outside assistant",weather
could you go to,open_app
"hey assistant, how are you",greeting
just who is at 7 am,search_web
please could you tell me the time for 10 minutes,time
would you mind if you show me,open_app
"ok, show me",open_app
just start,open_app
please how is the weather on youtube,weather
i need you to can you google,search_web
i need you to start playing music,play_music
would you mind if you see ya,farewell
please open the app,open_app
i need you to make me laugh for 10 minutes,joke
time check at 7 am,time
"hey, what is the time at 7 am",time
i need you to is it raining outside,weather
could you is it sunny about space,weather
can you set an alarm today,set_alarm
hello,greeting
"ok, i'm leaving",farewell
"hey assistant, current time please on youtube",time
would you mind if you timer for,set_alarm
"hey assistant, what is the time",time
could you make me laugh,joke
"hey, see ya",farewell
would you mind if you crack a joke in new york,joke
could you what's the weather like tomorrow,weather
i need you to hey,greeting
find information about on youtube,search_web
would you mind if you find information about about space,search_web
can you new alarm today,set_alarm
"hey, do you know the time",time
can you start buddy,open_app
can you remind me,set_alarm
"hey, search for for 10 minutes",search_web
"hey assistant, could you tell me the time",time
resume playback,play_music
please what time is it in new york,time
"ok, who is",search_web
"ok, look up for me",search_web
"hey, yo",greeting
would you mind if you can you open,open_app
"hey assistant, yo on spotify",greeting
i need you to add an alarm for me,set_alarm
just remind me,set_alarm
can you put on a playlist today,play_music
wake me up tomorrow,set_alarm
could you what's the weather like,weather
can you current time please now,time
"ok, yo today",greeting
"ok, time check tomorrow",time
could you bye,farewell
can you see you later today,farewell
please how are you,greeting
"ok, farewell buddy",farewell
would you mind if you google assistant,search_web
"hey, search the web for please",search_web
just find information about,search_web
"hey assistant, current time please",time
please crack a joke today,joke
"ok, is it raining outside friend",weather
"hey, what's the clock say",time
please go to,open_app
just set a timer,set_alarm
could you put on a playlist,play_music
"ok, have a good one please",farewell
would you mind if you launch,open_app
"hey, i'm leaving on youtube",farewell
"hey assistant, bye bye on spotify",farewell
would you mind if you tell me about,search_web
"ok, music please buddy",play_music
could you tell me the forecast,weather
would you mind if you add an alarm on spotify,set_alarm
would you mind if you show me,open_app
i need you to what's the clock say for me,time
could you add an alarm,set_alarm
could you how are you,greeting
can you current time please,time
"hey assistant, find information about",search_web
i need you to what's up,greeting
please do you know any jokes,joke
i need you to who is assistant,search_web
"ok, search for today",search_web
"hey, timer for",set_alarm
would you mind if you tell me the forecast for 10 minutes,weather
"hey assistant, search for on spotify",search_web
"hey, play some tunes",play_music
"ok, what is the time for me",time
can you timer for,set_alarm
please add an alarm,set_alarm
"ok, set a timer about space",set_alarm
"ok, resume playback on spotify",play_music
"ok, is it raining outside friend",weather
please is it sunny,weather
"ok, search for tomorrow",search_web
"hey, start",open_app
would you mind if you tell me something funny in new york,joke
i need you to have a good one in new york,farewell
could you tell me the time,time
how is the weather,weather
could you can you google on spotify,search_web
"hey, tell me about buddy",search_web
"hey, tell me the forecast",weather
please yo right now,greeting
i need you to start playing music,play_music
"hey assistant, good evening",greeting
play some music for 10 minutes,play_music
would you mind if you i'm leaving for me,farewell
just who is,search_web
can you tell me about about dogs,search_web
"hey, start playing music",play_music
"ok, do you know the time tomorrow",time
"ok, top of the morning on youtube",greeting
i need you to could you tell me the time for 10 minutes,time
could you add an alarm,set_alarm
"hey assistant, hi",greeting
howdy for me,greeting
can you look up,search_web
could you see ya friend,farewell
"ok, i'm leaving",farewell
can you open up,open_app
just tell me a joke,joke
just start buddy,open_app
can you find information about in new york,search_web
is it raining outside quickly,weather
please hello,greeting
please good morning for me,greeting
"ok, do you know any jokes",joke
just open the app about space,open_app
i need you to hi please,greeting
tell me the forecast,weather
"ok, search for on youtube",search_web
could you say a joke,joke
"hey, what time is it",time
just do you know any jokes,joke
"hey, is it sunny",weather
"hey assistant, do i need an umbrella",weather
music please,play_music
i need you to say a joke,joke
i need you to bye buddy,farewell
"hey, is it sunny in london",weather
"hey assistant, tell me the forecast",weather
please hi in new york,greeting
tell me the forecast,weather
could you is it sunny buddy,weather
"ok, who is",search_web
would you mind if you start,open_app
can you start playing music now,play_music
greetings in new york,greeting
would you mind if you good evening,greeting
tell me the time,time
"ok, what is the temperature",weather
"hey assistant, open the app tomorrow",open_app
"hey assistant, i want to listen to music",play_music
what's the weather like about space,weather
can you what time is it,time
"hey, what is the temperature in new york",weather
"hey, play some music",play_music
can you current time please,time
open the app,open_app
could you who is please,search_web
"hey assistant, talk to you soon buddy",farewell
"hey assistant, play some music buddy",play_music
would you mind if you how is the weather please,weather
please show me please,open_app
can you shuffle my songs about dogs,play_music
could you can you google,search_web
"ok, create a timer on youtube",set_alarm
"hey, start",open_app
"hey assistant, tell me about",search_web
i need you to can you google,search_web
"hey, launch",open_app
"ok, could you tell me the time about dogs",time
could you say a joke on spotify,joke
could you say a joke quickly,joke
please do you know the time at 7 am,time
can you farewell quickly,farewell
can you howdy in new york,greeting
could you i need a laugh on spotify,joke
"ok, look up on youtube",search_web
just tell me something funny at 7 am,joke
"ok, tell me the forecast tomorrow",weather
would you mind if you how is the weather,weather
how is the weather right now,weather
could you have a good one in london,farewell
i need you to is it sunny,weather
can you tell me the forecast buddy,weather
hello,greeting
can you is it raining outside,weather
i need you to look up at 7 am,search_web
"hey, yo",greeting
please open up,open_app
would you mind if you search for about space,search_web
new alarm,set_alarm
just who is for 10 minutes,search_web
timer for,set_alarm
would you mind if you look up,search_web
please goodbye tomorrow,farewell
"ok, who is",search_web
"ok, search for",search_web
"hey, google",search_web
could you hi now,greeting
can you tell me something funny about dogs,joke
just play some tunes please,play_music
just play a song,play_music
could you search the web for,search_web
can you add an alarm today,set_alarm
would you mind if you what is the temperature,weather
i need you to start,open_app
"ok, current time please about space",time
would you mind if you how is the weather tomorrow,weather
could you see you later,farewell
would you mind if you what's up,greeting
just open the app on youtube,open_app
i need you to tell me a joke,joke
just play some tunes today,play_music
"hey assistant, goodbye on youtube",farewell
just who is for me,search_web
could you bye,farewell
would you mind if you current time please quickly,time
would you mind if you remind me,set_alarm
can you what's the clock say friend,time
"hey assistant, is it raining outside",weather
"ok, open the app",open_app
just hi there right now,greeting
could you good evening,greeting
would you mind if you is it sunny buddy,weather
would you mind if you what is,search_web
just what's the clock say quickly,time
could you see you later for me,farewell
just have a good one today,farewell
i need you to current time please on youtube,time
"hey assistant, is it sunny",weather
"ok, open the app now",open_app
"ok, how is the weather",weather
could you how is the weather,weather
could you tell me something funny,joke
would you mind if you do you know any jokes for 10 minutes,joke
can you how are you for me,greeting
"hey assistant, good afternoon",greeting
"hey assistant, tell me about on spotify",search_web
just music please,play_music
"hey, i need a laugh for me",joke
can you tell me about on spotify,search_web
"hey, crack a joke in new york",joke
"hey assistant, put on a playlist friend",play_music
please new alarm on youtube,set_alarm
"ok, start playing music for 10 minutes",play_music
"hey, put on a playlist",play_music
"hey, is it sunny for me",weather
"ok, start playing music quickly",play_music
would you mind if you set a timer assistant,set_alarm
"hey assistant, peace out buddy",farewell
would you mind if you create a timer,set_alarm
"hey assistant, show me about dogs",open_app
could you do you know any jokes,joke
can you talk to you soon quickly,farewell
can you open the app,open_app
would you mind if you music please quickly,play_music
"hey, resume playback",play_music
i need you to play some music about space,play_music
i need you to have a good one,farewell
could you see you later,farewell
can you hello,greeting
"hey assistant, crack a joke",joke
i need you to peace out,farewell
can you hello,greeting
i need you to put on a playlist,play_music
"hey, tell me the forecast in new york",weather
please do you know any jokes,joke
"ok, crack a joke assistant",joke
just can you open assistant,open_app
"hey, bye bye in new york",farewell
can you look up,search_web
please can you open,open_app
please do you know the time,time
"hey assistant, good morning",greeting
please show me,open_app
would you mind if you farewell,farewell
boot up in new york,open_app
would you mind if you how is the weather,weather
"ok, do you know any jokes",joke
i need you to crack a joke buddy,joke
can you create a timer at 7 am,set_alarm
please what's the clock say,time
"hey assistant, add an alarm",set_alarm
i need you to start playing music about space,play_music
"hey, hi",greeting
have a good one,farewell
i need you to new alarm,set_alarm
i need you to show me,open_app
please shuffle my songs,play_music
could you music please,play_music
just crack a joke please,joke
open up today,open_app
"hey, tell me the time please",time
just play a song about dogs,play_music
could you what is the time in new york,time
i need you to current time please,time
please tell me a joke please,joke
just what is the time,time
please start,open_app
can you tell me the forecast,weather
could you talk to you soon about dogs,farewell
"ok, say a joke for me",joke
please make me laugh on spotify,joke
just what is the time right now,time
i need you to tell me a joke,joke
could you what's up friend,greeting
would you mind if you remind me,set_alarm
please tell me the time,time
i need you to hi there,greeting
just music please at 7 am,play_music
i need you to crack a joke about dogs,joke
"hey, do you know any jokes at 7 am",joke
i need you to resume playback,play_music
find information about,search_web
can you remind me for 10 minutes,set_alarm
"hey assistant, boot up",open_app
please timer for buddy,set_alarm
would you mind if you start for me,open_app
please play some tunes,play_music
"hey assistant, what is the temperature",weather
"ok, what is about dogs",search_web
what's the clock say,time
"hey assistant, tell me the time",time
i need you to timer for for 10 minutes,set_alarm
"hey assistant, bye bye",farewell
would you mind if you crack a joke,joke
"ok, look up",search_web
could you resume playback,play_music
just see you later,farewell
please howdy on youtube,greeting
i need you to what's up,greeting
"hey, tell me about",search_web
just set an alarm about dogs,set_alarm
just who is,search_web
"hey, i need a laugh for me",joke
would you mind if you open up in new york,open_app
please do you know the time,time
i need you to go to,open_app
good evening buddy,greeting
i need you to can you open for me,open_app
please go to,open_app
see you later,farewell
please look up,search_web
can you time check,time
"hey, tell me about on youtube",search_web
"hey, search the web for on spotify",search_web
"hey, create a timer in new york",set_alarm
is it raining outside,weather
just shuffle my songs,play_music
"hey, open the app",open_app
could you play a song friend,play_music
could you what is the temperature quickly,weather
i need you to do you know any jokes for 10 minutes,joke
can you remind me,set_alarm
"ok, look up please",search_web
i need you to boot up,open_app
"ok, search for tomorrow",search_web
would you mind if you start playing music about space,play_music
i need you to can you open,open_app
please do i need an umbrella assistant,weather
"hey, create a timer",set_alarm
can you launch,open_app
just hey,greeting
could you peace out now,farewell
find information about,search_web
"hey, new alarm",set_alarm
"ok, what is the time",time
"hey, bye",farewell
could you is it sunny about space,weather
"hey, talk to you soon",farewell
"hey, tell me a joke",joke
"hey, have a good one assistant",farewell
would you mind if you tell me a joke in london,joke
"ok, how are you about space",greeting
just tell me about,search_web
please boot up in london,open_app
please set a timer,set_alarm
can you what time is it,time
can you see you later for me,farewell
"hey assistant, tell me the time on spotify",time
would you mind if you how is the weather,weather
just gotta go in london,farewell
what is the temperature,weather
"ok, can you open",open_app
"hey assistant, top of the morning",greeting
i need you to what is on spotify,search_web
"ok, find information about for 10 minutes",search_web
create a timer assistant,set_alarm
can you play some tunes,play_music
create a timer friend,set_alarm
would you mind if you crack a joke buddy,joke
what's the clock say on youtube,time
"ok, new alarm",set_alarm
please can you google,search_web
just remind me,set_alarm
"hey, crack a joke buddy",joke
would you mind if you open the app quickly,open_app
would you mind if you resume playback,play_music
i need you to set an alarm today,set_alarm
would you mind if you who is friend,search_web
would you mind if you set a timer,set_alarm
please top of the morning in new york,greeting
go to please,open_app
would you mind if you is it sunny,weather
how are you in new york,greeting
just say a joke now,joke
"hey assistant, say a joke please",joke
just google in london,search_web
i need you to catch you later on spotify,farewell
